	feature	num_occurences	av_occurences	bs_model
0	 f__RF39	4	0.8	random_forest
1	 f__Bacteroidaceae	3	0.6	random_forest
2	 f__Acholeplasmataceae	1	0.2	random_forest
3	 f__Clostridia_UCG-014	1	0.2	random_forest
4	 f__Lactobacillaceae	1	0.2	random_forest
5	 f__Tannerellaceae	4	0.8	grad_boost
6	 f__Bacteroidaceae	3	0.6	grad_boost
7	 f__RF39	2	0.4	grad_boost
8	 f__Enterobacteriaceae	1	0.2	grad_boost
9	 f__[Eubacterium]_coprostanoligenes_group	1	0.2	grad_boost
