	key	final_y_pred	model_correct	fold	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	status	pos_culture	model
89	False	False	1	f4	42	3	1	1	1	1	1	0.0	grad_boost
90	True	True	1	f4	43	1	1	0	0	1	0	1.0	grad_boost
91	True	True	1	f4	44	1	1	0	0	1	0	1.0	grad_boost
92	False	True	0	f4	45	2	1	0	0	1	0	0.0	grad_boost
93	False	True	0	f4	46	1	1	0	0	1	0	0.0	grad_boost
94	False	False	1	f0	0	3	0	1	1	0	1	0.0	random_forest
95	True	False	0	f0	1	1	0	0	0	1	0	1.0	random_forest
96	False	False	1	f0	2	0	0	0	1	0	0	0.0	random_forest
97	False	False	1	f0	3	0	1	0	1	1	0	0.0	random_forest
98	True	False	0	f0	4	4	1	1	1	1	1	1.0	random_forest
99	True	True	1	f0	5	1	1	0	0	1	0	1.0	random_forest
100	False	False	1	f0	6	0	0	0	1	0	1	0.0	random_forest
101	False	False	1	f0	7	2	0	0	0	1	1	0.0	random_forest
102	False	True	0	f0	8	3	0	1	1	0	1	0.0	random_forest
103	False	False	1	f0	9	1	0	0	0	1	0	0.0	random_forest
104	False	False	1	f1	10	0	1	0	1	1	0	0.0	random_forest
105	False	False	1	f1	11	3	1	1	1	0	1	0.0	random_forest
106	False	False	1	f1	12	3	1	1	1	0	1	0.0	random_forest
107	False	False	1	f1	13	0	0	0	1	0	1	0.0	random_forest
108	True	False	0	f1	14	4	0	1	1	0	0	1.0	random_forest
109	False	False	1	f1	15	0	1	0	1	0	0	0.0	random_forest
110	False	True	0	f1	16	4	1	1	1	0	1	0.0	random_forest
111	False	False	1	f1	17	0	1	0	1	0	1	0.0	random_forest
112	False	False	1	f1	18	3	0	1	1	0	1	0.0	random_forest
113	False	False	1	f1	19	2	0	0	0	1	1	0.0	random_forest
114	True	False	0	f2	20	1	1	0	0	1	0	1.0	random_forest
115	True	False	0	f2	21	4	0	1	1	0	0	1.0	random_forest
116	True	True	1	f2	22	2	1	0	0	1	0	1.0	random_forest
117	True	False	0	f2	23	1	0	0	0	1	0	1.0	random_forest
118	False	False	1	f2	24	0	0	0	1	0	1	0.0	random_forest
119	False	False	1	f2	25	2	0	0	0	1	0	0.0	random_forest
120	False	False	1	f2	26	3	0	1	1	0	0	0.0	random_forest
