	key	final_y_pred	model_correct	fold	mouse_id	Unnamed: 0	diet	vendor	high_fiber	chow_highFiber	bloom_status	model
87	taconic	taconic	1	f3	37	47	4	0	0	0	1	grad_boost
88	charles_river	charles_river	1	f3	38	20	4	1	0	0	1	grad_boost
89	charles_river	charles_river	1	f3	39	19	3	1	1	1	0	grad_boost
90	taconic	taconic	1	f4	40	45	4	0	0	0	1	grad_boost
91	charles_river	charles_river	1	f4	41	1	0	1	0	1	0	grad_boost
92	charles_river	charles_river	1	f4	42	17	3	1	1	1	0	grad_boost
93	charles_river	charles_river	1	f4	43	14	2	1	0	0	1	grad_boost
94	charles_river	charles_river	1	f4	44	18	3	1	1	1	0	grad_boost
95	taconic	taconic	1	f4	45	42	3	0	1	1	0	grad_boost
96	taconic	taconic	1	f4	46	46	4	0	0	0	1	grad_boost
97	charles_river	charles_river	1	f4	47	7	1	1	1	1	0	grad_boost
98	charles_river	charles_river	1	f4	48	21	4	1	0	0	1	grad_boost
99	taconic	taconic	1	f4	49	49	4	0	0	0	1	grad_boost
100	taconic	taconic	1	f0	0	33	1	0	1	1	0	knn
101	charles_river	charles_river	1	f0	1	5	1	1	1	1	0	knn
102	charles_river	charles_river	1	f0	2	22	4	1	0	0	1	knn
103	charles_river	charles_river	1	f0	3	10	2	1	0	0	1	knn
104	charles_river	charles_river	1	f0	4	2	0	1	0	1	0	knn
105	taconic	taconic	1	f0	5	29	0	0	0	1	0	knn
106	taconic	taconic	1	f0	6	25	0	0	0	1	1	knn
107	taconic	taconic	1	f0	7	40	3	0	1	1	0	knn
108	charles_river	charles_river	1	f0	8	13	2	1	0	0	1	knn
109	taconic	taconic	1	f0	9	39	2	0	0	0	1	knn
110	taconic	taconic	1	f1	10	26	0	0	0	1	0	knn
111	charles_river	charles_river	1	f1	11	16	3	1	1	1	0	knn
112	taconic	taconic	1	f1	12	34	1	0	1	1	0	knn
113	charles_river	charles_river	1	f1	13	0	0	1	0	1	0	knn
114	charles_river	charles_river	1	f1	14	4	0	1	0	1	0	knn
115	taconic	taconic	1	f1	15	38	2	0	0	0	1	knn
116	taconic	taconic	1	f1	16	32	1	0	1	1	1	knn
117	charles_river	charles_river	1	f1	17	23	4	1	0	0	1	knn
118	taconic	taconic	1	f1	18	41	3	0	1	1	0	knn
119	charles_river	charles_river	1	f1	19	6	1	1	1	1	0	knn
120	charles_river	charles_river	1	f2	20	24	4	1	0	0	1	knn
121	charles_river	charles_river	1	f2	21	15	3	1	1	1	0	knn
122	taconic	taconic	1	f2	22	30	1	0	1	1	0	knn
123	charles_river	taconic	0	f2	23	3	0	1	0	1	1	knn
124	taconic	taconic	1	f2	24	28	0	0	0	1	1	knn
125	taconic	taconic	1	f2	25	27	0	0	0	1	0	knn
126	taconic	taconic	1	f2	26	44	3	0	1	1	1	knn
127	taconic	taconic	1	f2	27	43	3	0	1	1	0	knn
128	taconic	taconic	1	f2	28	35	2	0	0	0	1	knn
129	taconic	taconic	1	f2	29	36	2	0	0	0	1	knn
130	charles_river	charles_river	1	f3	30	9	1	1	1	1	0	knn
131	taconic	taconic	1	f3	31	48	4	0	0	0	1	knn
132	charles_river	charles_river	1	f3	32	12	2	1	0	0	1	knn
133	charles_river	charles_river	1	f3	33	8	1	1	1	1	0	knn
134	charles_river	charles_river	1	f3	34	11	2	1	0	0	1	knn
135	taconic	taconic	1	f3	35	31	1	0	1	1	1	knn
136	taconic	taconic	1	f3	36	37	2	0	0	0	1	knn
137	taconic	taconic	1	f3	37	47	4	0	0	0	1	knn
138	charles_river	charles_river	1	f3	38	20	4	1	0	0	1	knn
139	charles_river	charles_river	1	f3	39	19	3	1	1	1	0	knn
140	taconic	taconic	1	f4	40	45	4	0	0	0	1	knn
141	charles_river	charles_river	1	f4	41	1	0	1	0	1	0	knn
142	charles_river	charles_river	1	f4	42	17	3	1	1	1	0	knn
143	charles_river	charles_river	1	f4	43	14	2	1	0	0	1	knn
144	charles_river	charles_river	1	f4	44	18	3	1	1	1	0	knn
145	taconic	taconic	1	f4	45	42	3	0	1	1	0	knn
146	taconic	taconic	1	f4	46	46	4	0	0	0	1	knn
147	charles_river	charles_river	1	f4	47	7	1	1	1	1	0	knn
148	charles_river	charles_river	1	f4	48	21	4	1	0	0	1	knn
149	taconic	taconic	1	f4	49	49	4	0	0	0	1	knn
150	taconic	taconic	1	f0	0	33	1	0	1	1	0	perceptron
151	charles_river	charles_river	1	f0	1	5	1	1	1	1	0	perceptron
152	charles_river	charles_river	1	f0	2	22	4	1	0	0	1	perceptron
153	charles_river	charles_river	1	f0	3	10	2	1	0	0	1	perceptron
154	charles_river	charles_river	1	f0	4	2	0	1	0	1	0	perceptron
155	taconic	taconic	1	f0	5	29	0	0	0	1	0	perceptron
156	taconic	taconic	1	f0	6	25	0	0	0	1	1	perceptron
157	taconic	taconic	1	f0	7	40	3	0	1	1	0	perceptron
158	charles_river	charles_river	1	f0	8	13	2	1	0	0	1	perceptron
159	taconic	taconic	1	f0	9	39	2	0	0	0	1	perceptron
160	taconic	taconic	1	f1	10	26	0	0	0	1	0	perceptron
161	charles_river	charles_river	1	f1	11	16	3	1	1	1	0	perceptron
162	taconic	taconic	1	f1	12	34	1	0	1	1	0	perceptron
163	charles_river	charles_river	1	f1	13	0	0	1	0	1	0	perceptron
164	charles_river	charles_river	1	f1	14	4	0	1	0	1	0	perceptron
165	taconic	taconic	1	f1	15	38	2	0	0	0	1	perceptron
