	key	final_y_pred	model_correct	fold	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	model
93	charles_river	charles_river	1	f4	45	1	1	1	1	0	gaussian
94	charles_river	charles_river	1	f4	46	1	0	1	1	0	gaussian
95	charles_river	charles_river	1	f4	47	2	0	0	1	0	gaussian
96	taconic	taconic	1	f0	0	4	1	1	1	0	grad_boost
97	charles_river	taconic	0	f0	1	2	0	0	1	1	grad_boost
98	taconic	taconic	1	f0	2	1	1	1	1	1	grad_boost
99	charles_river	charles_river	1	f0	3	3	0	0	0	1	grad_boost
100	charles_river	charles_river	1	f0	4	3	0	0	0	1	grad_boost
101	charles_river	charles_river	1	f0	5	4	0	1	1	0	grad_boost
102	charles_river	charles_river	1	f0	6	0	0	0	0	1	grad_boost
103	taconic	taconic	1	f0	7	2	1	0	1	0	grad_boost
104	taconic	taconic	1	f0	8	2	1	0	1	0	grad_boost
105	charles_river	charles_river	1	f0	9	4	1	1	1	0	grad_boost
106	charles_river	charles_river	1	f1	10	1	0	1	1	0	grad_boost
107	charles_river	charles_river	1	f1	11	0	0	0	0	1	grad_boost
108	taconic	taconic	1	f1	12	4	0	1	1	0	grad_boost
109	taconic	taconic	1	f1	13	3	1	0	0	1	grad_boost
110	taconic	taconic	1	f1	14	0	1	0	0	1	grad_boost
111	charles_river	charles_river	1	f1	15	0	1	0	0	1	grad_boost
112	charles_river	charles_river	1	f1	16	1	0	1	1	0	grad_boost
113	charles_river	charles_river	1	f1	17	0	0	0	0	1	grad_boost
114	charles_river	charles_river	1	f1	18	1	0	1	1	0	grad_boost
115	charles_river	charles_river	1	f1	19	0	0	0	0	1	grad_boost
116	charles_river	charles_river	1	f2	20	2	0	0	1	0	grad_boost
117	charles_river	charles_river	1	f2	21	1	0	1	1	0	grad_boost
118	taconic	taconic	1	f2	22	2	0	0	1	0	grad_boost
119	taconic	taconic	1	f2	23	3	1	0	0	1	grad_boost
120	charles_river	charles_river	1	f2	24	0	1	0	0	1	grad_boost
121	taconic	taconic	1	f2	25	3	0	0	0	1	grad_boost
122	taconic	taconic	1	f2	26	1	1	1	1	1	grad_boost
123	taconic	taconic	1	f2	27	2	1	0	1	0	grad_boost
124	taconic	taconic	1	f2	28	2	1	0	1	1	grad_boost
125	taconic	taconic	1	f2	29	4	1	1	1	0	grad_boost
126	charles_river	charles_river	1	f3	30	0	1	0	0	1	grad_boost
127	taconic	taconic	1	f3	31	4	0	1	1	0	grad_boost
128	taconic	taconic	1	f3	32	3	1	0	0	1	grad_boost
129	charles_river	charles_river	1	f3	33	1	1	1	1	0	grad_boost
130	charles_river	charles_river	1	f3	34	4	0	1	1	0	grad_boost
131	taconic	taconic	1	f3	35	0	0	0	0	1	grad_boost
132	taconic	taconic	1	f3	36	4	1	1	1	1	grad_boost
133	taconic	taconic	1	f3	37	1	1	1	1	0	grad_boost
134	taconic	taconic	1	f3	38	2	1	0	1	1	grad_boost
135	charles_river	charles_river	1	f4	39	3	1	0	0	1	grad_boost
136	taconic	taconic	1	f4	40	2	0	0	1	0	grad_boost
137	charles_river	charles_river	1	f4	41	3	1	0	0	1	grad_boost
138	taconic	taconic	1	f4	42	3	0	0	0	1	grad_boost
139	taconic	taconic	1	f4	43	4	1	1	1	0	grad_boost
140	charles_river	charles_river	1	f4	44	0	1	0	0	1	grad_boost
141	charles_river	charles_river	1	f4	45	1	1	1	1	0	grad_boost
142	charles_river	charles_river	1	f4	46	1	0	1	1	0	grad_boost
143	charles_river	charles_river	1	f4	47	2	0	0	1	0	grad_boost
144	taconic	taconic	1	f0	0	4	1	1	1	0	knn
145	charles_river	taconic	0	f0	1	2	0	0	1	1	knn
146	taconic	taconic	1	f0	2	1	1	1	1	1	knn
147	charles_river	charles_river	1	f0	3	3	0	0	0	1	knn
148	charles_river	charles_river	1	f0	4	3	0	0	0	1	knn
149	charles_river	charles_river	1	f0	5	4	0	1	1	0	knn
150	charles_river	charles_river	1	f0	6	0	0	0	0	1	knn
151	taconic	taconic	1	f0	7	2	1	0	1	0	knn
152	taconic	taconic	1	f0	8	2	1	0	1	0	knn
153	charles_river	charles_river	1	f0	9	4	1	1	1	0	knn
154	charles_river	charles_river	1	f1	10	1	0	1	1	0	knn
155	charles_river	charles_river	1	f1	11	0	0	0	0	1	knn
156	taconic	taconic	1	f1	12	4	0	1	1	0	knn
157	taconic	taconic	1	f1	13	3	1	0	0	1	knn
158	taconic	taconic	1	f1	14	0	1	0	0	1	knn
159	charles_river	charles_river	1	f1	15	0	1	0	0	1	knn
160	charles_river	charles_river	1	f1	16	1	0	1	1	0	knn
161	charles_river	charles_river	1	f1	17	0	0	0	0	1	knn
162	charles_river	charles_river	1	f1	18	1	0	1	1	0	knn
163	charles_river	charles_river	1	f1	19	0	0	0	0	1	knn
