mouse_id	 f__AKAU3644	 f__Acholeplasmataceae	 f__Akkermansiaceae	 f__Alicyclobacillaceae	 f__Anaerofustaceae	 f__Anaerovoracaceae	 f__Atopobiaceae	 f__Bacillaceae	 f__Bacteroidaceae	 f__Beggiatoaceae	 f__Bifidobacteriaceae	 f__Butyricicoccaceae	 f__Christensenellaceae	 f__Clostridia_UCG-014	 f__Clostridia_vadinBB60_group	 f__Clostridiaceae	 f__Deferribacteraceae	 f__Desulfovibrionaceae	 f__Eggerthellaceae	 f__Enterobacteriaceae	 f__Enterococcaceae	 f__Erysipelatoclostridiaceae	 f__Erysipelotrichaceae	 f__Gastranaerophilales	 f__Hungateiclostridiaceae	 f__Lachnospiraceae	 f__Lactobacillaceae	 f__Marinifilaceae	 f__Monoglobaceae	 f__Moorellaceae	 f__Moraxellaceae	 f__Morganellaceae	 f__Muribaculaceae	 f__Oscillospiraceae	 f__Oscillospirales	 f__Peptococcaceae	 f__Peptostreptococcaceae	 f__Prevotellaceae	 f__RF39	 f__Rikenellaceae	 f__Ruminococcaceae	 f__Saccharimonadaceae	 f__Sphingomonadaceae	 f__Spirosomaceae	 f__Streptococcaceae	 f__Sutterellaceae	 f__Tannerellaceae	 f__UCG-010	 f__Weeksellaceae	 f__Xanthomonadaceae	 f__[Eubacterium]_coprostanoligenes_group	 f__uncultured
CDD02.CR.Chow.1	0.0	0.0003850115503465	0.00328409852295568	0.0	0.0	6.277966116761111e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00037104205909682165	0.00012407151875572882	0.0015825474764242752	5.0001500045e-05	0.0	0.000173755212656375	0.0	9.166941674916666e-05	0.0009686004865860214	0.00016421545277936841	7.500225006750203e-06	0.0	0.00039800748588158553	0.01644160435924188	0.0	0.0	0.0	0.0	0.000170005100153	0.004255809492466587	0.0003376912901589898	0.0	0.0	0.000510015300459	0.0	7.805112202146341e-05	0.0	0.0001347801628078672	0.0	0.0	0.0	0.0	0.0	0.00556616698500954	0.000108574685812	0.0	0.0	0.00282608478254346	0.0
CDD02.CR.Chow.2	0.0	0.000155003100062	0.0008880177603552	0.0	0.0	5.555666668888889e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002624794763936505	2.4237772891050848e-05	0.001377527550551	2.8333900011333335e-05	0.0	0.0002212544250885	0.0	0.0	0.0004035795001614286	0.00010737056846400002	0.0	0.0	0.0003508087979131499	0.01991113896352001	0.0	0.0	0.0	0.0	0.0	0.003496888119580568	0.00016695986093634782	0.0	2.37504750095e-05	0.003920078401568028	0.0	0.00011036806101975609	0.0	0.00011806206273379104	0.0	0.0	0.0	0.0	0.0	0.00533410668213364	0.00012714540005085714	0.0	0.0	0.0026720534410688	0.0
CDD02.CR.Chow.3	0.0	0.00036002160129605	0.0032401944116647	0.0	0.0	0.0001277854449044611	0.0	0.0	0.0	0.0	0.0	0.00017601056063362	0.0	0.00030424505882723814	6.79701799057051e-05	0.0018051083064983499	0.0007333773359734833	0.0	0.00016250975058503125	0.0	0.0	0.00044002640158409285	0.00011263833724759473	0.0	0.0	0.00046094079675960183	0.013311539433106721	0.0	0.0	0.0	0.0	9.0005400324e-05	0.005040075131780632	0.00020001200072003767	0.0	2.2501350081e-05	0.0014529443195163	0.0	9.866445645274878e-05	0.0	0.00012687328403882686	0.0	0.0	0.0	0.0	0.0	0.01141068464107846	0.00012572182902401428	0.0	0.0	0.00413224793487608	0.0
CDD02.CR.Chow.4	0.0	0.00019	0.001686	0.0	0.0	0.0001377777777777778	0.0	0.0	4.117647058823529e-06	0.0	0.0	0.0	0.0	0.0002404123711340206	8.898305084745763e-05	0.0007075	0.0008816666666666668	0.0	0.00016937499999999998	0.0	0.0	0.001627857142857143	9.421052631578947e-05	0.0	0.0	0.0005381514476614699	0.015772222222222222	0.0	0.0	0.0	0.0	0.0	0.0037965909090909087	0.00024405797101449277	0.0	2.375e-05	7.142857142857143e-05	0.0	1.3292682926829268e-05	6.999999999999999e-06	0.0003249253731343284	0.0	0.0	0.0	0.0	0.0	0.0060420000000000005	7.428571428571427e-05	0.0	0.0	0.002102	0.0
CDD02.CR.Chow.5	0.0	0.0002202422664931	0.00062568825708279	0.0	0.0	4.282488515143889e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002320077858840577	4.2080186510242374e-05	0.0010611672840124	0.00010011012113323333	0.0	0.00014953949344278126	0.0	0.0	0.0003024755802811643	6.217365417748421e-05	0.0	0.0	0.0005427127969942788	0.018799197635918023	0.0	0.0	0.0	0.0	0.0	0.0026351714158301363	0.00032992813834347535	0.0	0.0	0.0022195843999828287	0.0	0.00010377268654055853	0.0	0.00015868201290075075	0.0	0.0	0.0	0.0	0.0	0.00381419561517668	0.00011584171159702857	0.0	0.0	0.0020722795074581803	0.0
CDD02.CR.HFHF.1	0.0	0.00013502295390215	0.00447576087934948	0.0	0.0	5.389805155765e-05	0.0	0.0	3.5300118667232257e-06	0.0	0.0	0.0	0.0	0.0002600442075152722	3.4582150151961016e-05	0.000232539531720375	0.002893825283631533	1.3335600385398854e-05	0.00021503655621455	0.0	3.0005100867133336e-05	0.0006636842548947572	0.0001494990990573579	0.0	0.0	0.0010571953134037105	0.006653353292281907	0.0	0.0	0.0	0.0	0.0	0.0036049310200915933	0.00012944229504521885	0.0	0.0	5.000850144524286e-05	0.0	7.123162157078537e-05	0.0	0.0001765971857006641	0.0	0.0	0.0	0.0	0.0	0.00852744966644328	0.00011573396048755714	0.0	0.0	0.00185031455347408	0.0
CDD02.CR.HFHF.2	0.0	0.000290014500725	0.004045202260113	0.0	0.0	5.8891833480561115e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0002173304541515701	6.135900015339153e-05	0.0005475273763688	0.0024717902561794667	0.0	0.0001468823441172	0.0	9.667150024166666e-05	0.00034501725086254285	0.0002568549480105579	0.0	0.0	0.000925770119240917	0.008613023243754772	0.0	0.0	0.0	0.0	2.5001250062503124e-05	0.0034001700085004205	0.00022653306578371884	0.0	8.750437521876094e-06	0.0004043059295821714	0.0	0.00012305493323446477	0.0	0.00015508238098471344	0.0	0.0	0.0	0.0	0.0	0.0112585629281464	0.00014429292893215716	0.0	0.0	0.0018700935046752	0.0
CDD02.CR.HFHF.3	0.0	0.00013001820254835	0.00852419338707419	0.0	0.0	8.612316835467778e-05	0.0	0.0	7.648129561664706e-06	0.0	0.0	0.00024403416478306	0.0	0.0007047378385551258	0.000108489764838261	0.000292540955733775	0.00010168090199293334	0.0	0.00016877362830795625	0.0	0.0	0.0005693654254452714	6.737785395218234e-05	0.0	0.0	0.000403486332184492	0.009988805840225037	0.0	0.0	0.0	0.0	5.500770107815e-05	0.006064712696141092	0.0001671248467538971	0.0	3.25045506370875e-05	0.0001614511745930143	0.0	0.00017965929864326952	0.0	0.00044498767140831934	0.0	0.0	0.0	0.0	0.0	0.00555077710879522	8.429751593794286e-05	0.0	0.0	0.00389454523633306	0.0
CDD02.CR.HFHF.4	0.0	0.0	0.0062450000000000006	0.0	0.0	0.0001288888888888889	0.0	0.0	0.0	0.0	0.0	4.2000000000000004e-05	0.0	0.0003187628865979381	6.71186440677966e-05	0.0004725	1.1666666666666666e-05	0.0	0.00018625	0.0	0.0	0.0007242857142857143	0.00013578947368421055	0.0	0.0	0.0003144988864142539	0.01724222222222222	0.0	0.0	0.0	0.0	4.5e-05	0.0040234090909090905	0.0001782608695652174	0.0	1.5e-05	0.0005471428571428572	0.0	6.695121951219513e-05	0.0	0.00012626865671641792	0.0	0.0	0.0	0.0	0.0	0.00958	2.4285714285714288e-05	0.0	0.0	0.0040680000000000004	0.0
CDD02.CR.HFHF.5	0.0	9.50028500855e-05	0.00493814814444433	0.0	0.0	0.0001150034501035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00030578236934736703	2.661096782055932e-05	0.0022975689270678	6.666866672666667e-05	0.0	0.000216256487694625	0.0	0.0	0.0006593054934505143	0.00011210862641668421	0.0	0.0	0.00037827415446070915	0.015319718850824782	0.0	3.0000900027e-05	0.0	0.0	0.0	0.004840599763447443	0.00010406109284727536	0.0	0.0	0.002471502716510057	0.0	7.82950317777805e-05	0.0	0.0001653780956712269	0.0	0.0	0.0	0.0	0.0	0.0077862335870076006	9.571715722900001e-05	0.0	0.0	0.00291008730261906	0.0
