	tax_family	mouse_id	rel_abund_diff_d3-d15
1264	 f__Lachnospiraceae	CDD02.CR.HFLF.5	-0.5159996397027724
1276	 f__Lachnospiraceae	CDD02.Tc.Chow.2	-0.5677800056947481
1278	 f__Lachnospiraceae	CDD02.Tc.Chow.4	-0.6468349801047982
1284	 f__Lachnospiraceae	CDD02.Tc.HFHF.5	-0.5334133413341334
1287	 f__Lachnospiraceae	CDD02.Tc.HFLF.3	-0.6497235003649724
1298	 f__Lachnospiraceae	CDD02.Tc.LFLF.4	-0.5793515870317406
1317	 f__Lactobacillaceae	CDD02.CR.LFHF.3	-0.5132540777039026
1322	 f__Lactobacillaceae	CDD02.CR.LFLF.3	-0.5687989037225765
