	key	final_y_pred	model_correct	fold	mouse_id	diet	vendor	high_fiber	chow_highFiber	bloom_status	status	pos_culture	model
76	didnt_survive	didnt_survive	1	f3	29	1	0	0	0	1	0	0.0	grad_boost
77	didnt_survive	survived	0	f3	30	2	1	0	0	1	0	1.0	grad_boost
78	didnt_survive	didnt_survive	1	f3	31	2	0	0	0	1	0	0.0	grad_boost
79	survived	survived	1	f3	32	4	0	1	1	0	1	1.0	grad_boost
80	survived	didnt_survive	0	f3	33	2	1	0	0	1	1	1.0	grad_boost
81	survived	didnt_survive	0	f3	34	3	0	1	1	0	1	0.0	grad_boost
82	didnt_survive	survived	0	f3	35	4	1	1	1	1	0	1.0	grad_boost
83	survived	survived	1	f3	36	4	0	1	1	0	1	0.0	grad_boost
84	didnt_survive	survived	0	f3	37	4	0	1	1	0	0	1.0	grad_boost
85	didnt_survive	didnt_survive	1	f4	38	2	0	0	0	1	0	0.0	grad_boost
86	didnt_survive	didnt_survive	1	f4	39	1	0	0	0	1	0	0.0	grad_boost
87	survived	survived	1	f4	40	4	1	1	1	0	1	0.0	grad_boost
88	survived	survived	1	f4	41	3	1	1	1	0	1	0.0	grad_boost
89	survived	survived	1	f4	42	3	1	1	1	1	1	0.0	grad_boost
90	didnt_survive	didnt_survive	1	f4	43	1	1	0	0	1	0	1.0	grad_boost
91	didnt_survive	didnt_survive	1	f4	44	1	1	0	0	1	0	1.0	grad_boost
92	didnt_survive	didnt_survive	1	f4	45	2	1	0	0	1	0	0.0	grad_boost
93	didnt_survive	didnt_survive	1	f4	46	1	1	0	0	1	0	0.0	grad_boost
94	survived	didnt_survive	0	f0	0	3	0	1	1	0	1	0.0	random_forest
95	didnt_survive	didnt_survive	1	f0	1	1	0	0	0	1	0	1.0	random_forest
96	didnt_survive	didnt_survive	1	f0	2	0	0	0	1	0	0	0.0	random_forest
97	didnt_survive	didnt_survive	1	f0	3	0	1	0	1	1	0	0.0	random_forest
98	survived	didnt_survive	0	f0	4	4	1	1	1	1	1	1.0	random_forest
99	didnt_survive	didnt_survive	1	f0	5	1	1	0	0	1	0	1.0	random_forest
100	survived	survived	1	f0	6	0	0	0	1	0	1	0.0	random_forest
101	survived	survived	1	f0	7	2	0	0	0	1	1	0.0	random_forest
102	survived	didnt_survive	0	f0	8	3	0	1	1	0	1	0.0	random_forest
103	didnt_survive	didnt_survive	1	f0	9	1	0	0	0	1	0	0.0	random_forest
104	didnt_survive	survived	0	f1	10	0	1	0	1	1	0	0.0	random_forest
105	survived	survived	1	f1	11	3	1	1	1	0	1	0.0	random_forest
106	survived	survived	1	f1	12	3	1	1	1	0	1	0.0	random_forest
107	survived	survived	1	f1	13	0	0	0	1	0	1	0.0	random_forest
108	didnt_survive	survived	0	f1	14	4	0	1	1	0	0	1.0	random_forest
109	didnt_survive	didnt_survive	1	f1	15	0	1	0	1	0	0	0.0	random_forest
110	survived	survived	1	f1	16	4	1	1	1	0	1	0.0	random_forest
111	survived	survived	1	f1	17	0	1	0	1	0	1	0.0	random_forest
