	key	final_y_pred	model_correct	fold	mouse_id	Unnamed: 0	diet	vendor	high_fiber	chow_highFiber	bloom_status	model
82	HF/LF	LF/LF	0	f3	32	12	2	1	0	0	1	grad_boost
83	HF/HF	LF/HF	0	f3	33	8	1	1	1	1	0	grad_boost
84	HF/LF	LF/LF	0	f3	34	11	2	1	0	0	1	grad_boost
85	HF/HF	HF/HF	1	f3	35	31	1	0	1	1	1	grad_boost
86	HF/LF	HF/LF	1	f3	36	37	2	0	0	0	1	grad_boost
87	LF/LF	LF/LF	1	f3	37	47	4	0	0	0	1	grad_boost
88	LF/LF	HF/LF	0	f3	38	20	4	1	0	0	1	grad_boost
89	LF/HF	LF/HF	1	f3	39	19	3	1	1	1	0	grad_boost
90	LF/LF	HF/LF	0	f4	40	45	4	0	0	0	1	grad_boost
91	Chow	Chow	1	f4	41	1	0	1	0	1	0	grad_boost
92	LF/HF	HF/HF	0	f4	42	17	3	1	1	1	0	grad_boost
93	HF/LF	HF/LF	1	f4	43	14	2	1	0	0	1	grad_boost
94	LF/HF	HF/HF	0	f4	44	18	3	1	1	1	0	grad_boost
95	LF/HF	LF/HF	1	f4	45	42	3	0	1	1	0	grad_boost
96	LF/LF	HF/LF	0	f4	46	46	4	0	0	0	1	grad_boost
97	HF/HF	LF/HF	0	f4	47	7	1	1	1	1	0	grad_boost
98	LF/LF	HF/LF	0	f4	48	21	4	1	0	0	1	grad_boost
99	LF/LF	Chow	0	f4	49	49	4	0	0	0	1	grad_boost
100	HF/HF	HF/HF	1	f0	0	33	1	0	1	1	0	random_forest
101	HF/HF	HF/HF	1	f0	1	5	1	1	1	1	0	random_forest
102	LF/LF	HF/LF	0	f0	2	22	4	1	0	0	1	random_forest
103	HF/LF	LF/LF	0	f0	3	10	2	1	0	0	1	random_forest
104	Chow	Chow	1	f0	4	2	0	1	0	1	0	random_forest
105	Chow	Chow	1	f0	5	29	0	0	0	1	0	random_forest
106	Chow	Chow	1	f0	6	25	0	0	0	1	1	random_forest
107	LF/HF	LF/HF	1	f0	7	40	3	0	1	1	0	random_forest
108	HF/LF	HF/LF	1	f0	8	13	2	1	0	0	1	random_forest
109	HF/LF	HF/LF	1	f0	9	39	2	0	0	0	1	random_forest
110	Chow	Chow	1	f1	10	26	0	0	0	1	0	random_forest
111	LF/HF	HF/HF	0	f1	11	16	3	1	1	1	0	random_forest
112	HF/HF	HF/HF	1	f1	12	34	1	0	1	1	0	random_forest
113	Chow	Chow	1	f1	13	0	0	1	0	1	0	random_forest
114	Chow	Chow	1	f1	14	4	0	1	0	1	0	random_forest
115	HF/LF	HF/LF	1	f1	15	38	2	0	0	0	1	random_forest
116	HF/HF	LF/HF	0	f1	16	32	1	0	1	1	1	random_forest
117	LF/LF	LF/LF	1	f1	17	23	4	1	0	0	1	random_forest
118	LF/HF	HF/LF	0	f1	18	41	3	0	1	1	0	random_forest
119	HF/HF	HF/HF	1	f1	19	6	1	1	1	1	0	random_forest
120	LF/LF	HF/LF	0	f2	20	24	4	1	0	0	1	random_forest
121	LF/HF	LF/HF	1	f2	21	15	3	1	1	1	0	random_forest
122	HF/HF	HF/LF	0	f2	22	30	1	0	1	1	0	random_forest
123	Chow	Chow	1	f2	23	3	0	1	0	1	1	random_forest
124	Chow	Chow	1	f2	24	28	0	0	0	1	1	random_forest
125	Chow	HF/LF	0	f2	25	27	0	0	0	1	0	random_forest
126	LF/HF	HF/HF	0	f2	26	44	3	0	1	1	1	random_forest
127	LF/HF	LF/HF	1	f2	27	43	3	0	1	1	0	random_forest
128	HF/LF	HF/HF	0	f2	28	35	2	0	0	0	1	random_forest
129	HF/LF	HF/HF	0	f2	29	36	2	0	0	0	1	random_forest
130	HF/HF	LF/HF	0	f3	30	9	1	1	1	1	0	random_forest
131	LF/LF	HF/LF	0	f3	31	48	4	0	0	0	1	random_forest
132	HF/LF	LF/LF	0	f3	32	12	2	1	0	0	1	random_forest
133	HF/HF	LF/HF	0	f3	33	8	1	1	1	1	0	random_forest
134	HF/LF	LF/LF	0	f3	34	11	2	1	0	0	1	random_forest
135	HF/HF	HF/HF	1	f3	35	31	1	0	1	1	1	random_forest
136	HF/LF	HF/LF	1	f3	36	37	2	0	0	0	1	random_forest
137	LF/LF	LF/LF	1	f3	37	47	4	0	0	0	1	random_forest
138	LF/LF	LF/LF	1	f3	38	20	4	1	0	0	1	random_forest
139	LF/HF	LF/HF	1	f3	39	19	3	1	1	1	0	random_forest
140	LF/LF	HF/LF	0	f4	40	45	4	0	0	0	1	random_forest
141	Chow	Chow	1	f4	41	1	0	1	0	1	0	random_forest
142	LF/HF	HF/HF	0	f4	42	17	3	1	1	1	0	random_forest
143	HF/LF	HF/LF	1	f4	43	14	2	1	0	0	1	random_forest
144	LF/HF	HF/LF	0	f4	44	18	3	1	1	1	0	random_forest
145	LF/HF	LF/HF	1	f4	45	42	3	0	1	1	0	random_forest
146	LF/LF	HF/LF	0	f4	46	46	4	0	0	0	1	random_forest
147	HF/HF	LF/HF	0	f4	47	7	1	1	1	1	0	random_forest
148	LF/LF	HF/LF	0	f4	48	21	4	1	0	0	1	random_forest
149	LF/LF	Chow	0	f4	49	49	4	0	0	0	1	random_forest
