	feature	num_occurences	av_occurences	bs_model
0	 f__Erysipelatoclostridiaceae	5	1.0	random_forest
1	 f__Peptostreptococcaceae	5	1.0	random_forest
2	 f__Enterobacteriaceae	4	0.8	random_forest
3	 f__Butyricicoccaceae	1	0.2	random_forest
4	 f__Clostridiaceae	1	0.2	random_forest
5	 f__Rikenellaceae	1	0.2	random_forest
6	 f__UCG-010	1	0.2	random_forest
